epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,2057.2,1.8421,2.22872,1.03495,0.17276,0.05599,0.06563,0.04609,1.72539,2.25056,1.01231,0.000298525,0.000298525,0.000298525
43,2105.15,1.73719,2.18064,1.03369,0.17358,0.05631,0.06549,0.046,1.72539,2.25056,1.01231,0.00029605,0.00029605,0.00029605
44,2154.66,1.88214,2.21477,1.05091,0.21777,0.05845,0.06793,0.0478,1.71298,2.21839,1.00843,0.000293575,0.000293575,0.000293575
45,2202.31,1.78813,2.13074,1.02606,0.21399,0.06028,0.06838,0.04804,1.70302,2.18454,1.00313,0.0002911,0.0002911,0.0002911
46,2254.08,1.84915,2.17772,1.03209,0.17912,0.05887,0.06843,0.04739,1.70559,2.1619,1.00068,0.000288625,0.000288625,0.000288625
47,2305.21,1.82331,2.14792,1.02405,0.17909,0.05834,0.06859,0.04749,1.70559,2.1619,1.00068,0.00028615,0.00028615,0.00028615
48,2354.93,1.81905,2.17916,1.02456,0.13617,0.05813,0.06791,0.04669,1.72321,2.15037,1.00007,0.000283675,0.000283675,0.000283675
49,2403.57,1.72153,2.06129,1.00079,0.13988,0.05554,0.06918,0.0476,1.7453,2.14278,0.99955,0.0002812,0.0002812,0.0002812
50,2451.82,1.78915,2.11351,1.01975,0.1502,0.0547,0.07026,0.04859,1.74448,2.13059,0.99852,0.000278725,0.000278725,0.000278725
51,2502,1.73764,2.07454,1.00131,0.1502,0.0547,0.07026,0.04859,1.74448,2.13059,0.99852,0.00027625,0.00027625,0.00027625
52,2556.62,1.73923,2.07412,1.02039,0.20534,0.05214,0.07058,0.04971,1.71263,2.10808,0.99357,0.000273775,0.000273775,0.000273775
53,2610.14,1.74867,2.07126,1.00731,0.12307,0.05288,0.07254,0.05139,1.67902,2.08576,0.98967,0.0002713,0.0002713,0.0002713
54,2667.35,1.74426,2.04081,1.00833,0.11644,0.05548,0.07395,0.05322,1.66093,2.06715,0.98848,0.000268825,0.000268825,0.000268825
55,2719.42,1.77718,2.0643,1.02312,0.11644,0.05548,0.07395,0.05322,1.66093,2.06715,0.98848,0.00026635,0.00026635,0.00026635
56,2772.89,1.6258,1.96272,1.00623,0.11201,0.05953,0.07832,0.05608,1.65107,2.0541,0.98691,0.000263875,0.000263875,0.000263875
57,2826.68,1.66121,1.97675,1.00246,0.10923,0.06018,0.07777,0.05555,1.64368,2.04274,0.98619,0.0002614,0.0002614,0.0002614
58,2881.13,1.75155,2.03812,1.02342,0.10617,0.06169,0.07734,0.05513,1.6438,2.03602,0.98663,0.000258925,0.000258925,0.000258925
59,2936.71,1.71303,1.96071,0.99591,0.10617,0.06169,0.07734,0.05513,1.6438,2.03602,0.98663,0.00025645,0.00025645,0.00025645
60,2989.94,1.67534,1.95678,1.00635,0.10736,0.06481,0.07897,0.05638,1.64702,2.03295,0.98671,0.000253975,0.000253975,0.000253975
61,3043.19,1.63493,1.94839,0.99557,0.10819,0.06613,0.07912,0.05632,1.64426,2.02968,0.98568,0.0002515,0.0002515,0.0002515
62,3098.56,1.7202,1.98008,1.00581,0.11122,0.06759,0.08067,0.05742,1.63735,2.01595,0.98312,0.000249025,0.000249025,0.000249025
63,3151.8,1.73401,2.01884,1.01077,0.11122,0.06759,0.08067,0.05742,1.63735,2.01595,0.98312,0.00024655,0.00024655,0.00024655
64,3207.17,1.69807,1.9953,1.00127,0.11151,0.06921,0.08283,0.05903,1.63198,2.0059,0.98176,0.000244075,0.000244075,0.000244075
65,3259.41,1.6493,1.90817,0.99706,0.11573,0.06872,0.08487,0.06063,1.61777,1.98501,0.97785,0.0002416,0.0002416,0.0002416
66,3312.22,1.68037,1.91872,1.0041,0.11164,0.071,0.0857,0.06132,1.60515,1.96763,0.97572,0.000239125,0.000239125,0.000239125
67,3367.12,1.75177,2.01022,1.00889,0.11164,0.071,0.0857,0.06132,1.60515,1.96763,0.97572,0.00023665,0.00023665,0.00023665
68,3421.43,1.68335,1.96371,1.00371,0.11783,0.06863,0.08719,0.06239,1.60122,1.95249,0.97484,0.000234175,0.000234175,0.000234175
69,3474.72,1.65159,1.86989,0.99312,0.12211,0.06857,0.08856,0.06319,1.59455,1.9343,0.97273,0.0002317,0.0002317,0.0002317
70,3527.81,1.70805,1.93822,1.01138,0.13205,0.06859,0.09186,0.06574,1.58377,1.91586,0.97063,0.000229225,0.000229225,0.000229225
71,3583.52,1.77803,1.95419,0.9933,0.13205,0.06859,0.09186,0.06574,1.58377,1.91586,0.97063,0.00022675,0.00022675,0.00022675
72,3638.98,1.72034,1.92959,1.00108,0.13504,0.06965,0.09334,0.06679,1.58159,1.90553,0.97015,0.000224275,0.000224275,0.000224275
73,3691.16,1.71905,1.89433,0.99764,0.13996,0.0712,0.09442,0.06783,1.58852,1.89532,0.97008,0.0002218,0.0002218,0.0002218
